lon,lat,ve,vn,ee,en,cen
78.54862,35.58709,-2.92,18.206,0.171,0.175,0.007
78.3108,34.05426,0.368,18.824,2.187,1.656,-0.569
82.8292,29.78646,4.578,20.379,0.297,0.233,0.002
81.34801,34.11295,2.478,17.299,1.496,1.341,-0.063
82.75118,31.91771,5.315,19.558,0.649,0.553,0.012
85.89764,29.65218,9.354,21.766,0.196,0.196,-0.0
84.75003,28.51641,7.483,22.44,0.315,0.312,-0.001
81.90547,35.79941,-1.077,15.482,7.567,7.122,-51.716
85.85883,33.54328,9.562,20.486,0.557,0.67,-0.058
82.67466,28.80785,2.476,18.105,0.704,0.634,0.082
87.35116,29.97686,12.189,22.35,0.216,0.205,-0.004
87.19918,34.38939,10.743,19.289,2.68,2.62,2.661
80.22882,30.09624,2.185,19.18,0.235,0.303,0.005
84.31892,27.58841,12.639,21.375,1.058,1.173,0.24
83.85221,32.57052,7.03,19.132,0.271,0.269,0.011
86.89045,33.05689,12.18,19.575,1.764,1.979,-0.468
88.14668,33.86947,14.456,18.041,0.954,0.901,0.034
87.66708,32.248,14.598,17.318,1.161,0.538,0.061
86.71675,32.13102,15.412,19.714,2.513,2.501,-2.163
90.88228,28.49622,15.627,17.067,0.218,0.141,-0.0
93.64289,28.75968,21.708,7.093,0.292,0.266,-0.0
75.86694,33.95806,-3.333,23.34,0.218,0.199,-0.001
90.52184,31.70224,19.96,15.901,1.475,2.268,0.707
91.0253,31.68566,21.448,14.65,1.011,0.994,-0.326
98.87576,28.00785,8.846,-10.535,0.219,0.238,-0.009
97.79973,28.0156,10.13,-4.844,0.318,0.438,0.005
89.93804,31.44092,18.885,17.493,0.186,0.159,0.002
90.23553,33.71514,20.552,12.919,0.648,0.952,0.286
78.85495,36.74894,-2.681,19.111,0.353,0.464,0.021
84.21718,39.48919,1.861,11.72,0.081,0.096,-0.001
82.62422,36.44394,-1.767,15.549,0.832,0.843,0.035
94.23493,30.92795,21.272,5.343,0.196,0.156,-0.005
100.07339,27.09285,5.379,-15.528,0.509,0.437,0.064
100.02894,26.23023,2.086,-13.559,0.378,0.587,0.058
100.3539,26.31619,5.382,-12.206,0.338,0.303,0.004
100.37143,25.62793,3.376,-10.489,1.122,1.035,0.191
100.49463,25.83426,5.174,-11.118,0.413,0.742,0.083
99.32528,29.57808,14.761,-8.422,0.409,0.413,-0.062
100.22663,28.54568,11.601,-14.299,0.215,0.22,-0.005
75.93004,38.14936,-0.717,21.038,0.519,0.562,0.103
102.51951,28.12404,10.535,-7.728,0.197,0.272,-0.008
101.78036,28.47935,11.803,-13.075,0.183,0.177,-0.001
101.28847,26.3166,7.548,-12.286,0.136,0.157,0.001
102.83147,25.44063,5.384,-11.345,0.271,0.279,0.003
102.37037,27.48453,11.529,-14.272,0.504,0.618,-0.143
102.46533,25.8223,6.741,-12.46,0.209,0.201,-0.002
99.26402,25.02681,-0.453,-9.796,0.5,0.652,-0.011
102.10021,25.84911,6.021,-12.457,0.398,0.319,-0.012
