longitude,latitude,fid,e_vel,n_vel,e_err,n_err,station,ref
105.815,33.34,"3954",7.3,-1.8,0.8,0.7,1375_GPS,wang_shen_2020
112.614,41.271,"3955",3,-0.9,0.3,0.3,A001_GPS,wang_shen_2020
112.564,40.892,"3956",3.2,-1.3,0.2,0.2,A002_GPS,wang_shen_2020
112.48,40.529,"3957",3.5,-1.3,0.2,0.2,A003_GPS,wang_shen_2020
112.354,40.171,"3958",4.2,-1.7,0.2,0.2,A004_GPS,wang_shen_2020
113.132,41.019,"3959",3.4,-1.1,0.2,0.2,A005_GPS,wang_shen_2020
113.213,40.787,"3960",3.2,-1.3,0.3,0.2,A006_GPS,wang_shen_2020
113.196,40.447,"3961",3.9,-1.6,0.2,0.2,A007_GPS,wang_shen_2020
112.727,40.016,"3962",4.8,-1.9,0.3,0.3,A008_GPS,wang_shen_2020
113.887,40.876,"3963",2.9,-1.2,0.2,0.2,A011_GPS,wang_shen_2020
113.757,40.372,"3964",3.1,-2,0.3,0.2,A012_GPS,wang_shen_2020
113.659,40.037,"3965",4.4,-1.8,0.2,0.2,A013_GPS,wang_shen_2020
114.708,41.176,"3966",2.9,-1.8,0.3,0.3,A014_GPS,wang_shen_2020
114.218,40.708,"3967",3.6,-1.8,0.2,0.2,A015_GPS,wang_shen_2020
114.431,40.451,"3968",3.8,-1.6,0.2,0.2,A016_GPS,wang_shen_2020
114.116,40.457,"3969",4,-1.9,0.2,0.2,A017_GPS,wang_shen_2020
114.143,40.118,"3970",3,-1.3,0.7,0.7,A018_GPS,wang_shen_2020
114.799,40.854,"3971",3.1,-1.5,0.2,0.2,A019_GPS,wang_shen_2020
115.037,40.564,"3972",2.1,-1.7,0.5,0.5,A020_GPS,wang_shen_2020
114.816,40.439,"3973",4.1,-1.6,0.3,0.2,A021_GPS,wang_shen_2020
114.676,40.234,"3974",4,-1.9,0.2,0.2,A022_GPS,wang_shen_2020
114.95,40.093,"3975",3.4,-2.4,0.6,0.5,A023_GPS,wang_shen_2020
112.841,39.819,"3976",5.2,-1.7,0.3,0.3,A024_GPS,wang_shen_2020
112.81,39.544,"3977",4.5,-2,0.2,0.2,A025_GPS,wang_shen_2020
112.801,38.991,"3978",4.8,-2.1,0.2,0.2,A027_GPS,wang_shen_2020
112.767,38.731,"3979",4.8,-2.2,0.3,0.3,A028_GPS,wang_shen_2020
112.693,38.401,"3980",4.9,-2.3,0.2,0.2,A029_GPS,wang_shen_2020
113.057,39.819,"3981",4.1,-1.4,0.2,0.2,A030_GPS,wang_shen_2020
113.277,39.578,"3982",4.4,-2.1,0.2,0.2,A031_GPS,wang_shen_2020
113.192,39.183,"3983",4.7,-2.4,0.2,0.3,A032_GPS,wang_shen_2020
112.969,38.443,"3984",3.7,-2.3,0.3,0.4,A035_GPS,wang_shen_2020
113.644,39.723,"3985",4.4,-1.8,0.2,0.2,A036_GPS,wang_shen_2020
113.805,39.569,"3986",4.4,-2.1,0.2,0.2,A037_GPS,wang_shen_2020
113.739,39.293,"3987",4.7,-2.1,0.3,0.3,A038_GPS,wang_shen_2020
113.936,39.113,"3988",4.4,-2.1,0.2,0.2,A039_GPS,wang_shen_2020
113.642,38.775,"3989",4.4,-2.3,0.2,0.2,A040_GPS,wang_shen_2020
114.223,39.766,"3990",4.4,-2.1,0.2,0.2,A041_GPS,wang_shen_2020
114.228,38.876,"3991",4.5,-2.1,0.2,0.2,A043_GPS,wang_shen_2020
114.122,38.577,"3992",4.3,-2.2,0.2,0.2,A044_GPS,wang_shen_2020
115.265,39.642,"3993",4.3,-1.9,0.3,0.3,A045_GPS,wang_shen_2020
114.582,39.839,"3994",3.8,-2.4,0.4,0.4,A046_GPS,wang_shen_2020
114.821,39.699,"3995",4.4,-1.9,0.2,0.2,A047_GPS,wang_shen_2020
114.56,39.362,"3996",4.5,-1.9,0.2,0.2,A048_GPS,wang_shen_2020
114.741,39.044,"3997",4.6,-2,0.2,0.2,A049_GPS,wang_shen_2020
114.583,38.826,"3998",4.6,-2.2,0.2,0.2,A050_GPS,wang_shen_2020
114.557,38.428,"3999",4.3,-1.4,0.4,0.4,A051_GPS,wang_shen_2020
114.929,38.77,"4000",4.7,-2.1,0.3,0.2,A052_GPS,wang_shen_2020
115.297,40.979,"4001",2.8,-1.6,0.2,0.2,A053_GPS,wang_shen_2020
115.406,40.691,"4002",3.4,-1.4,0.2,0.2,A054_GPS,wang_shen_2020
115.398,40.528,"4003",3.4,-1.7,0.2,0.2,A055_GPS,wang_shen_2020
115.172,40.343,"4004",4.4,-1.8,0.3,0.3,A056_GPS,wang_shen_2020
115.16,40.191,"4005",4.1,-1.7,0.2,0.2,A057_GPS,wang_shen_2020
115.719,41.295,"4006",2.8,-1.3,0.2,0.2,A058_GPS,wang_shen_2020
115.839,40.913,"4007",2.9,-1.2,0.3,0.3,A059_GPS,wang_shen_2020
115.6,40.393,"4008",3.4,-1.7,0.3,0.2,A061_GPS,wang_shen_2020
115.478,40.352,"4009",3.6,-1.7,0.2,0.2,A062_GPS,wang_shen_2020
116.073,41.119,"4010",2.9,-1.1,0.3,0.2,A063_GPS,wang_shen_2020
116.17,40.66,"4011",2.9,-1.4,0.2,0.2,A064_GPS,wang_shen_2020
116.401,40.529,"4012",2.4,-1.1,0.2,0.2,A065_GPS,wang_shen_2020
115.926,40.346,"4013",3.8,-1.9,0.3,0.3,A066_GPS,wang_shen_2020
116.248,40.105,"4014",4.3,-0.7,0.4,0.5,A067_GPS,wang_shen_2020
116.62,41.22,"4015",2.5,-1.2,0.3,0.3,A068_GPS,wang_shen_2020
116.932,41.037,"4016",2.6,-1.3,0.2,0.2,A069_GPS,wang_shen_2020
116.83,40.431,"4017",3,-1.2,0.2,0.2,A071_GPS,wang_shen_2020
116.591,40.309,"4018",3.6,-2.4,0.2,0.3,A072_GPS,wang_shen_2020
116.609,40.049,"4019",4.2,-1.9,0.8,0.8,A073_GPS,wang_shen_2020
117.174,41.226,"4020",2.8,-0.9,0.3,0.2,A074_GPS,wang_shen_2020
117.356,40.934,"4021",2.7,-0.9,0.2,0.2,A075_GPS,wang_shen_2020
117.151,40.672,"4022",2.8,-1,0.3,0.3,A076_GPS,wang_shen_2020
117.264,40.4,"4023",2.6,-0.9,0.3,0.3,A077_GPS,wang_shen_2020
117.542,40.458,"4024",2.6,-1,0.3,0.3,A078_GPS,wang_shen_2020
117.137,40.104,"4025",2.7,-0.7,0.2,0.2,A079_GPS,wang_shen_2020
117.487,40.179,"4026",2.6,-1.2,0.3,0.3,A080_GPS,wang_shen_2020
115.7,39.996,"4027",3.9,-1.7,0.2,0.2,A082_GPS,wang_shen_2020
115.561,39.639,"4028",4.4,-1.9,0.2,0.2,A083_GPS,wang_shen_2020
115.166,39.437,"4029",4.5,-1.9,0.2,0.2,A084_GPS,wang_shen_2020
115.488,39.374,"4030",4.4,-1.7,0.2,0.2,A085_GPS,wang_shen_2020
115.267,39.03,"4031",4.7,-2,0.2,0.2,A086_GPS,wang_shen_2020
115.493,38.812,"4032",4.5,-2.2,0.3,0.3,A087_GPS,wang_shen_2020
116.139,39.963,"4033",4.4,-1.6,0.2,0.2,A088_GPS,wang_shen_2020
116.217,39.915,"4034",3.5,-0.4,0.5,0.5,A089_GPS,wang_shen_2020
116.087,39.691,"4035",4.3,-1.4,0.3,0.3,A091_GPS,wang_shen_2020
116.292,39.701,"4036",5,-0.6,0.2,0.3,A092_GPS,wang_shen_2020
116.003,39.492,"4037",4.6,-1.8,0.3,0.4,A093_GPS,wang_shen_2020
116.282,39.403,"4038",5.7,-2,0.4,0.4,A094_GPS,wang_shen_2020
116.127,38.708,"4039",3.6,-3.3,0.3,0.3,A096_GPS,wang_shen_2020
116.722,39.49,"4040",4.9,-2.5,0.3,0.3,A100_GPS,wang_shen_2020
116.462,39.326,"4041",5.8,-1.5,0.9,0.8,A101_GPS,wang_shen_2020
116.383,39.081,"4042",5.2,-1,0.4,0.4,A102_GPS,wang_shen_2020
116.626,38.707,"4043",5.1,-2.8,0.6,0.6,A105_GPS,wang_shen_2020
117.088,40.041,"4044",2.6,0.2,0.3,0.4,A106_GPS,wang_shen_2020
117.094,39.411,"4045",2.9,-1.3,0.6,0.6,A109_GPS,wang_shen_2020
117.305,39.117,"4046",4,-2.5,0.4,0.4,A110_GPS,wang_shen_2020
116.925,38.721,"4047",5,-1.1,0.3,0.3,A112_GPS,wang_shen_2020
