lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
85.358,27.697,AIRP_GPS,1111,10,9.3,35.8,0.9,0.7,9.783,32.854,0.0,-0.483,2.946
85.339,28.389,BI01_GPS,1111,10,11.3,28.0,1.9,1.4,9.198,29.288,0.0,2.102,-1.288
84.179,29.654,BT07_GPS,1111,10,5.6,23.7,1.0,0.6,7.775,25.756,0.0,-2.175,-2.056
85.29,28.842,BT08_GPS,1111,10,9.7,25.4,0.8,0.7,9.633,27.785,0.0,0.067,-2.385
83.643,28.599,GANS_GPS,1111,10,8.8,27.6,0.7,0.6,10.657,29.896,0.0,-1.857,-2.296
84.039,29.721,J332_GPS,1111,10,6.6,23.7,0.5,0.5,7.844,25.719,0.0,-1.244,-2.019
83.658,28.508,JALT_GPS,1111,10,8.5,28.5,0.7,0.6,10.9,30.806,0.0,-2.4,-2.306
83.718,28.781,JOMO_GPS,1111,10,7.7,26.8,0.4,0.4,9.046,27.478,0.0,-1.346,-0.678
85.521,27.693,NAGA_GPS,1111,10,9.6,34.5,0.2,0.2,9.499,36.107,0.0,0.101,-1.607
83.645,28.71,TUKO_GPS,1111,10,7.7,27.5,0.8,0.7,9.266,28.339,0.0,-1.566,-0.839
84.156,29.68,XZZB_GPS,1111,10,8.3,24.0,0.5,0.4,7.856,25.735,0.0,0.444,-1.735
85.314,28.207,CHLM_GPS,1111,10,9.6,28.8,0.2,0.2,8.389,29.893,0.0,1.211,-1.093
83.743,28.805,JMSM_GPS,1111,10,8.0,27.0,0.2,0.2,8.969,27.252,0.0,-0.969,-0.252
85.279,27.801,KKN4_GPS,1111,10,9.6,34.5,0.2,0.2,7.948,31.539,0.0,1.652,2.961
83.936,28.26,SRNK_GPS,1111,10,8.9,32.3,0.4,0.4,8.014,28.577,0.0,0.886,3.723
83.763,28.345,DNSG_GPS,1111,10,9.4,28.5,0.6,0.6,9.305,29.741,0.0,0.095,-1.241
85.799,27.385,SNDL_GPS,1111,10,11.1,35.3,0.3,0.3,11.113,36.145,0.0,-0.013,-0.845
84.043,29.534,YARE_GPS,1111,10,8.2,25.5,0.5,0.5,7.48,25.684,0.0,0.72,-0.184
83.978,28.199,POKH_GPS,1111,10,8.4,34.1,0.5,0.4,8.077,29.411,0.0,0.323,4.689
83.953,29.178,MST2,1111,10,4.603,24.81,1.59,1.13,8.803,25.84,0.0,-4.2,-1.03
85.008,27.316,HET0,1111,10,9.503,37.446,1.0,0.9,12.717,34.944,0.0,-3.214,2.502
85.398,27.575,PKI0,1111,10,11.685,36.174,1.0,0.9,10.705,34.568,0.0,0.98,1.606
85.222,28.015,RAM0,1111,10,11.431,30.015,1.0,0.9,7.958,31.426,0.0,3.473,-1.411
85.28,27.693,AIRP,1111,10,10.568,32.135,3.4,1.8,8.625,31.955,0.0,1.943,0.18
84.38,28.229,BESI,1111,10,8.328,32.06,0.664,0.563,9.043,36.193,0.0,-0.715,-4.133
85.108,27.608,DAMA,1111,10,9.404,35.967,0.268,0.264,9.846,33.081,0.0,-0.442,2.886
84.265,27.973,DMAU,1111,10,9.434,35.208,0.533,0.587,11.115,36.643,0.0,-1.681,-1.435
84.41,28.375,GHER,1111,10,8.093,29.049,1.054,0.906,8.582,34.457,0.0,-0.489,-5.408
85.288,27.682,KIRT,1111,10,12.367,38.067,0.671,0.774,8.851,32.091,0.0,3.516,5.976
83.895,29.179,MSTG,1111,10,7.604,25.112,0.634,0.391,8.729,25.722,0.0,-1.125,-0.61
102.836,23.224,H166_GPS,1111,100,7.5,-4.3,0.6,0.6,6.689,-4.269,0.0,0.811,-0.031
102.401,22.996,H167_GPS,1111,100,6.2,-4.8,0.4,0.3,6.475,-5.179,0.0,-0.275,0.379
103.222,22.771,H173_GPS,1111,100,7.2,-1.9,0.5,0.4,7.138,-2.403,0.0,0.062,0.503
